,full_name,rating,jersey,team,position,b_day,height_in_m,weight_in_kg,salary,country,draft_year,draft_round,draft_peak,college,current_age,year_played,body_mass_index,bmi_class,attended_college
401,Jemerrio Jones,70,#0,,F,4/9/1995,1.96,91.2,195077,USA,2018,0,0,New Mexico State,26,3,23.7,Normal,0
402,Jordan Poole,70,#3,Golden State Warriors,G,6/19/1999,1.93,88,1964760,USA,2019,1,28,Michigan,21,1,23.6,Normal,0
403,Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/2000,1.93,106.1,898310,USA,2019,2,46,Iowa State,20,1,28.5,Overweight,0
404,Yante Maten,70,#0,,F-C,8/14/1996,2.03,108.9,100000,USA,2018,0,0,Georgia,24,2,26.4,Overweight,0
405,Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,7/18/1992,1.98,97.5,1445697,Greece,2014,2,51,,28,6,24.9,Normal,1
406,Naz Reid,70,#11,Minnesota Timberwolves,C,8/26/1999,2.06,112.9,898310,USA,2019,0,0,LSU,21,1,26.6,Overweight,0
407,Ignas Brazdeikis,70,#17,New York Knicks,F,1/8/1999,1.98,98,898310,Canada,2019,2,47,Michigan,22,2,25,Overweight,0
408,Deonte Burton,70,#30,Oklahoma City Thunder,G,6/26/1991,1.93,108.9,1416852,USA,2014,0,0,Iowa State,29,6,29.2,Overweight,0
409,Justin James,70,#10,Sacramento Kings,G,1/24/1997,2.01,86.2,898310,USA,2019,2,40,Wyoming,24,2,21.3,Normal,0
410,Henry Ellenson,69,#0,,F-C,1/13/1997,2.08,109.8,79568,USA,2016,1,18,Marquette,24,5,25.4,Overweight,0
411,Devonte Graham,69,#0,Charlotte Hornets,G,2/22/1995,1.85,83.9,1416852,USA,2018,2,34,Kansas,26,3,24.5,Normal,0
412,Amile Jefferson,69,#0,,F-C,5/7/1993,2.06,101.6,1529007,USA,2017,0,0,Duke,27,3,23.9,Normal,0
413,Khyri Thomas,69,#13,Detroit Pistons,G,5/8/1996,1.91,95.3,1416852,USA,2018,2,38,Creighton,24,2,26.1,Overweight,0
414,Theo Pinson,69,#0,New York Knicks,G,11/5/1995,1.96,99.8,1445697,USA,2018,0,0,North Carolina,25,2,26,Overweight,0
415,Gary Clark,69,#0,Orlando Magic,F,11/16/1994,1.98,102.1,1427191,USA,2018,0,0,Cincinnati,26,2,26,Overweight,0
416,Terance Mann,69,#14,Los Angeles Clippers,G,10/18/1996,1.96,97.5,1000000,USA,2019,2,48,Florida State,24,1,25.4,Overweight,0
417,Cam Reynolds,69,#13,Milwaukee Bucks,G,2/7/1995,2.01,102.1,79568,USA,2018,0,0,Tulane,26,3,25.3,Overweight,0
418,Tyrone Wallace,69,#0,,G-F,6/10/1994,1.96,90.7,502491,USA,2016,2,60,California,26,4,23.6,Normal,0
419,Miye Oni,69,#24,Utah Jazz,F,8/4/1997,1.96,95.3,898310,USA,2019,2,58,Yale,23,1,24.8,Normal,0
420,Malcolm Miller,69,#13,Toronto Raptors,F,3/6/1993,2.01,93,1588231,USA,2015,0,0,Holy Cross,28,6,23,Normal,0
421,Isaac Bonga,68,#17,Washington Wizards,G,11/8/1999,2.03,90.7,1416852,Germany,2018,2,39,,21,2,22,Normal,1
422,Isaiah Hartenstein,68,#0,,F-C,5/5/1998,2.13,113.4,1416852,Germany,2017,2,43,,22,3,25,Overweight,1
423,Jordan McRae,68,#0,Detroit Pistons,G,3/28/1991,1.96,81.2,1254933,USA,2014,2,58,Tennessee,30,7,21.1,Normal,0
424,Brandon Goodwin,68,#0,Atlanta Hawks,G,10/2/1995,1.83,81.6,522738,USA,2018,0,0,Florida Gulf Coast,25,2,24.4,Normal,0
425,Michael Frazier,68,#21,Houston Rockets,G,3/8/1994,1.91,90.7,79568,USA,2015,2,60,Florida,27,6,24.9,Normal,0
426,Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/1997,2.08,90.7,79568,Greece,2018,0,0,Dayton,23,2,21,Normal,0
427,Jalen Lecque,68,#0,Phoenix Suns,G,6/13/2000,1.91,86.2,898310,USA,2019,0,0,,20,1,23.6,Normal,1
428,Duncan Robinson,67,#55,Miami Heat,F,4/22/1994,2.01,97.5,1416852,USA,2018,0,0,Michigan,26,2,24.1,Normal,0
