,full_name,rating,jersey,team,position,b_day,height_in_m,weight_in_kg,salary,country,draft_year,draft_round,draft_peak,college,current_age,year_played,body_mass_index,bmi_class,attended_college
270,Christian Wood,74,#35,Detroit Pistons,F,9/27/1995,2.08,98,1645357,USA,2015,0,0,UNLV,25,5,22.7,Normal,0
271,Jaxson Hayes,74,#10,New Orleans Pelicans,F-C,5/23/2000,2.11,99.8,4862040,USA,2019,1,8,Texas,20,1,22.4,Normal,0
272,Rui Hachimura,74,#8,Washington Wizards,F,2/8/1998,2.03,102.1,4469160,Japan,2019,1,9,Gonzaga,23,2,24.8,Normal,0
273,OG Anunoby,73,#3,Toronto Raptors,F-G,7/17/1997,2.01,105.2,2281800,United Kingdom,2017,1,23,Indiana,23,3,26,Overweight,0
274,Dwayne Bacon,73,#7,Charlotte Hornets,G,8/30/1995,1.98,99.8,1618520,USA,2017,2,40,Florida State,25,3,25.5,Overweight,0
275,DeAndre Bembry,73,#95,Atlanta Hawks,F,7/4/1994,1.96,93.9,2603981,USA,2016,1,21,Saint Joseph's,26,4,24.4,Normal,0
276,Jonah Bolden,73,#0,Phoenix Suns,F,1/2/1996,2.03,97.5,1788296,Australia,2017,2,36,UCLA,25,4,23.7,Normal,0
277,Sterling Brown,73,#23,Milwaukee Bucks,G,2/10/1995,1.96,104.3,1618520,USA,2017,2,46,SMU,26,4,27.2,Overweight,0
278,Bruce Brown,73,#6,Detroit Pistons,G,8/15/1996,1.93,86.2,1416852,USA,2018,2,42,Miami (Florida),24,2,23.1,Normal,0
279,Troy Brown,73,#6,Washington Wizards,F-G,7/28/1999,1.98,97.5,3219480,USA,2018,1,15,Oregon,21,2,24.9,Normal,0
280,Alec Burks,73,#0,Philadelphia 76ers,G,7/20/1991,1.98,88.5,2320044,USA,2011,1,12,Colorado,29,9,22.6,Normal,0
281,Alex Caruso,73,#4,Los Angeles Lakers,G,2/28/1994,1.96,84.4,2750000,USA,2016,0,0,Texas A&M,27,5,22,Normal,0
282,Tyson Chandler,73,#19,Houston Rockets,C,10/2/1982,2.13,106.6,2564753,USA,2001,1,2,,38,19,23.5,Normal,1
